data,data,nome_da_musica,msPlayed,minutos,horas
2021-01-09,01/09/2021,Evil Walks (AC/DC),1962,0.0327,0.000545
2021-01-09,01/09/2021,Under Pressure     2011 (Queen),2048,0.034133333333333335,0.000568888888888889
2021-01-09,01/09/2021,Road Runner (Aerosmith),10240,0.17066666666666666,0.002844444444444444
2021-01-09,01/09/2021,Baby It's You     2009 (The Beatles),3584,0.05973333333333333,0.0009955555555555555
2021-01-09,01/09/2021,Out Of Control (The Rolling Stones),2901,0.04835,0.0008058333333333333
2021-01-09,01/09/2021,Thunderstruck (AC/DC),2389,0.03981666666666667,0.0006636111111111111
2021-01-09,01/09/2021,A Hard Day's Night     2009 (The Beatles),3583,0.05971666666666667,0.0009952777777777779
2021-01-09,01/09/2021,What Is and What Should Never Be   29/6/69 Top Gear;  (Led Zeppelin),1877,0.03128333333333334,0.0005213888888888889
2021-01-09,01/09/2021,Something     2009 (The Beatles),4351,0.07251666666666666,0.001208611111111111
2021-01-09,01/09/2021,I'm Happy Just To Dance With You     2009 (The Beatles),1706,0.028433333333333335,0.00047388888888888893
2021-01-09,01/09/2021,Crazy Little Thing Called Love     2011 (Queen),2816,0.046933333333333334,0.0007822222222222222
2021-01-09,01/09/2021,You Can't Always Get What You Want (The Rolling Stones),3157,0.052616666666666666,0.0008769444444444444
2021-01-09,01/09/2021,Sweet Leaf (Black Sabbath),2730,0.0455,0.0007583333333333333
2021-01-09,01/09/2021,Come Together     2009 (The Beatles),3754,0.06256666666666667,0.0010427777777777779
2021-01-09,01/09/2021,Street Fighting Man   50th Anniversary Edition (The Rolling Stones),2901,0.04835,0.0008058333333333333
